count_conv_id,conv_date,DAY_NAME
1303,31-07-2021,Saturday
2289,30-07-2021,Friday
888,29-07-2021,Thursday
992,28-07-2021,Wednesday
980,27-07-2021,Tuesday
1150,26-07-2021,Monday
862,25-07-2021,Sunday
682,24-07-2021,Saturday
742,23-07-2021,Friday
829,22-07-2021,Thursday
782,21-07-2021,Wednesday
764,20-07-2021,Tuesday
842,19-07-2021,Monday
1368,18-07-2021,Sunday
691,17-07-2021,Saturday
808,16-07-2021,Friday
966,15-07-2021,Thursday
